Freq[Hz]    GD[ms]  Phase[Deg]
128.839      0.138   -87.808
130.713      0.138   -87.891
132.615      0.138   -87.975
134.543      0.138   -88.061
136.500      0.137   -88.152
138.486      0.136   -88.248
140.500      0.136   -88.347
142.544      0.136   -88.449
144.617      0.135   -88.561
146.721      0.135   -88.683
148.855      0.136   -88.802
151.020      0.136   -88.914
153.217      0.136   -89.021
155.445      0.137   -89.120
157.706      0.137   -89.218
160.000      0.137   -89.313
162.327      0.137   -89.414
164.688      0.137   -89.522
167.084      0.137   -89.639
169.514      0.137   -89.769
171.980      0.137   -89.900
174.481      0.137   -90.030
177.019      0.137   -90.159
179.594      0.137   -90.286
182.206      0.138   -90.415
184.856      0.138   -90.547
187.545      0.138   -90.683
190.273      0.139   -90.821
193.041      0.139   -90.964
195.849      0.139   -91.114
198.697      0.139   -91.254
201.587      0.139   -91.382
204.520      0.139   -91.516
207.494      0.139   -91.657
210.512      0.139   -91.811
213.574      0.139   -91.977
216.681      0.139   -92.145
219.833      0.139   -92.312
223.030      0.139   -92.471
226.274      0.139   -92.622
229.565      0.139   -92.781
232.905      0.139   -92.949
236.292      0.139   -93.121
239.729      0.140   -93.298
243.216      0.140   -93.476
246.754      0.141   -93.653
250.343      0.142   -93.828
253.984      0.142   -94.000
257.678      0.143   -94.179
261.426      0.145   -94.367
265.229      0.146   -94.554
269.087      0.148   -94.738
273.001      0.149   -94.937
276.972      0.151   -95.151
281.000      0.152   -95.356
285.088      0.153   -95.547
289.234      0.152   -95.748
293.441      0.151   -95.959
297.709      0.149   -96.177
302.040      0.146   -96.401
306.433      0.143   -96.847
310.890      0.139   -97.241
315.412      0.134   -97.591
320.000      0.128   -97.913
324.655      0.122   -98.169
329.377      0.115   -98.423
334.168      0.108   -98.676
339.028      0.099   -98.858
343.959      0.090   -99.020
348.962      0.080   -99.177
354.038      0.069   -99.304
359.188      0.059   -99.372
364.412      0.049   -99.443
369.713      0.040   -99.518
375.090      0.032   -99.520
380.546      0.024   -99.517
386.081      0.017   -99.508
391.697      0.011   -99.454
397.394      0.006   -99.370
403.175      0.002   -99.328
409.039      0.000   -99.216
414.989     -0.001   -99.196
421.025     -0.001   -99.098
427.149      0.001   -98.978
433.362      0.004   -98.900
439.665      0.008   -98.860
446.060      0.013   -98.800
452.548      0.020   -98.685
459.131      0.028   -98.728
465.809      0.037   -98.688
472.584      0.047   -98.765
479.458      0.057   -98.814
486.432      0.068   -98.875
493.507      0.080   -99.015
500.686      0.092   -99.234
507.968      0.104   -99.530
515.357      0.116   -99.824
522.853      0.129  -100.189
530.458      0.140  -100.557
538.174      0.152  -101.011
546.002      0.163  -101.535
553.943      0.173  -102.073
562.001      0.182  -102.668
570.175      0.190  -103.257
578.469      0.197  -103.928
586.883      0.202  -104.673
595.419      0.206  -105.440
604.080      0.209  -106.258
612.866      0.211  -107.108
621.780      0.211  -107.948
630.824      0.210  -108.784
640.000      0.208  -109.617
649.309      0.204  -110.446
658.753      0.200  -111.271
668.335      0.194  -112.081
678.056      0.188  -112.835
687.919      0.182  -113.541
697.925      0.176  -114.236
708.077      0.170  -114.850
718.376      0.165  -115.455
728.825      0.160  -115.983
739.426      0.157  -116.434
750.181      0.155  -116.852
761.093      0.154  -117.229
772.163      0.155  -117.550
783.394      0.158  -117.868
794.789      0.163  -118.170
806.349      0.169  -118.535
818.078      0.178  -118.902
829.977      0.189  -119.321
842.050      0.201  -119.852
854.298      0.215  -120.496
866.724      0.231  -121.234
879.330      0.249  -122.126
892.120      0.268  -123.186
905.097      0.288  -124.476
918.262      0.310  -125.857
931.618      0.332  -127.360
945.169      0.356  -129.072
958.917      0.380  -131.010
972.864      0.405  -133.081
987.015      0.431  -135.223
1001.37      0.458  -137.522
1015.94      0.485  -139.953
