Freq[Hz]    GD[ms]  Phase[Deg]
134.543      0.156    10.674
136.500      0.197    10.842
138.486      0.237    10.760
140.500      0.278    10.409
142.544      0.320     9.843
144.617      0.364     9.157
146.721      0.409     8.445
148.855      0.454     7.747
151.020      0.495     7.065
153.217      0.530     6.413
155.445      0.556     5.788
157.706      0.573     5.179
160.000      0.582     4.595
162.327      0.585     4.037
164.688      0.582     3.495
167.084      0.576     2.958
169.514      0.568     2.416
171.980      0.559     1.879
174.481      0.547     1.365
177.019      0.535     0.894
179.594      0.521     0.482
182.206      0.506     0.130
184.856      0.490    -0.189
187.545      0.472    -0.499
190.273      0.453    -0.829
193.041      0.433    -1.203
195.849      0.411    -1.629
198.697      0.387    -2.115
201.587      0.361    -2.652
204.520      0.334    -3.224
207.494      0.305    -3.816
210.512      0.275    -4.392
213.574      0.243    -4.917
216.681      0.208    -5.376
219.833      0.171    -5.748
223.030      0.133    -6.030
226.274      0.093    -6.229
229.565      0.054    -6.350
232.905      0.015    -6.398
236.292     -0.021    -6.372
239.729     -0.054    -6.267
243.216     -0.082    -6.071
246.754     -0.103    -5.767
250.343     -0.117    -5.333
253.984     -0.124    -4.756
257.678     -0.124    -4.050
261.426     -0.117    -3.255
265.229     -0.105    -2.424
269.087     -0.088    -1.614
273.001     -0.069    -0.872
276.972     -0.048    -0.267
281.000     -0.025     0.100
285.088      0.000     0.159
289.234      0.026    -0.113
293.441      0.053    -0.692
297.709      0.080    -1.476
302.040      0.106    -2.333
306.433      0.130    -3.174
310.890      0.150    -3.945
315.412      0.164    -4.620
320.000      0.171    -5.200
324.655      0.170    -5.710
329.377      0.162    -6.168
334.168      0.148    -6.603
339.028      0.131    -7.058
343.959      0.110    -7.521
348.962      0.089    -7.940
354.038      0.068    -8.254
359.188      0.047    -8.387
364.412      0.027    -8.304
369.713      0.009    -8.025
375.090     -0.008    -7.589
380.546     -0.022    -7.062
386.081     -0.032    -6.527
391.697     -0.039    -6.029
397.394     -0.041    -5.573
403.175     -0.039    -5.130
409.039     -0.034    -4.654
414.989     -0.026    -4.126
421.025     -0.015    -3.619
427.149     -0.003    -3.267
433.362      0.011    -3.148
439.665      0.024    -3.312
446.060      0.038    -3.747
452.548      0.051    -4.331
459.131      0.064    -4.989
465.809      0.077    -5.698
472.584      0.089    -6.420
479.458      0.101    -7.119
486.432      0.111    -7.755
493.507      0.120    -8.286
500.686      0.127    -8.668
507.968      0.132    -8.899
515.357      0.134    -8.984
522.853      0.135    -8.919
530.458      0.132    -8.760
538.174      0.127    -8.634
546.002      0.120    -8.692
553.943      0.111    -9.052
562.001      0.102    -9.758
570.175      0.094   -10.735
578.469      0.090   -11.792
586.883      0.089   -12.739
595.419      0.092   -13.437
604.080      0.096   -13.797
612.866      0.101   -13.811
621.780      0.104   -13.486
630.824      0.104   -12.876
640.000      0.102   -12.180
649.309      0.099   -11.625
658.753      0.095   -11.441
668.335      0.091   -11.821
678.056      0.089   -12.691
687.919      0.089   -13.772
697.925      0.089   -14.780
708.077      0.088   -15.505
718.376      0.085   -15.924
728.825      0.078   -16.227
739.426      0.069   -16.676
750.181      0.057   -17.434
761.093      0.044   -18.473
772.163      0.030   -19.602
783.394      0.018   -20.550
794.789      0.007   -21.074
806.349     -0.002   -21.036
818.078     -0.011   -20.442
829.977     -0.020   -19.400
842.050     -0.031   -18.100
854.298     -0.042   -16.781
866.724     -0.053   -15.696
879.330     -0.061   -15.036
892.120     -0.065   -14.822
905.097     -0.063   -14.904
918.262     -0.054   -14.977
931.618     -0.041   -14.669
945.169     -0.024   -13.788
958.917     -0.005   -12.422
972.864      0.014   -10.872
987.015      0.031    -9.557
1001.37      0.047    -8.819
1015.94      0.061    -8.823
1030.71      0.073    -9.582
1045.71      0.086   -10.962
1060.92      0.099   -12.782
1076.35      0.112   -14.891
1092.00      0.125   -17.129
1107.89      0.136   -19.314
1124.00      0.144   -21.297
1140.35      0.150   -22.986
1156.94      0.152   -24.361
1173.77      0.151   -25.468
1190.84      0.148   -26.396
1208.16      0.144   -27.225
1225.73      0.140   -27.980
1243.56      0.135   -28.614
1261.65      0.131   -29.050
1280.00      0.127   -29.235
1298.62      0.123   -29.183
1317.51      0.120   -29.003
1336.67      0.116   -28.886
1356.11      0.114   -29.007
1375.84      0.112   -29.434
1395.85      0.110   -30.157
1416.15      0.109   -31.098
1436.75      0.108   -32.137
1457.65      0.106   -33.231
1478.85      0.103   -34.421
1500.36      0.099   -35.792
1522.19      0.094   -37.429
1544.33      0.089   -39.359
1566.79      0.083   -41.468
1589.58      0.077   -43.526
1612.70      0.071   -45.237
1636.16      0.065   -46.359
1659.95      0.059   -46.762
1684.10      0.053   -46.450
1708.60      0.047   -45.624
1733.45      0.039   -44.552
1758.66      0.031   -43.454
1784.24      0.024   -42.521
1810.19      0.017   -41.850
1836.52      0.011   -41.429
1863.24      0.006   -41.209
1890.34      0.002   -41.120
1917.83     -0.002   -41.118
1945.73     -0.005   -41.212
1974.03     -0.008   -41.472
2002.74     -0.012   -41.985
2031.87     -0.016   -42.823
2061.43     -0.020   -43.949
2091.41     -0.023   -45.161
2121.83     -0.026   -46.151
2152.69     -0.029   -46.584
2184.01     -0.032   -46.260
2215.77     -0.034   -45.238
2248.00     -0.037   -43.707
2280.70     -0.041   -41.923
2313.87     -0.045   -40.131
2347.53     -0.049   -38.481
2381.68     -0.054   -37.083
2416.32     -0.057   -36.018
2451.46     -0.058   -35.296
2487.12     -0.058   -34.856
2523.30     -0.056   -34.550
2560.00     -0.052   -34.152
2597.24     -0.046   -33.466
2635.01     -0.039   -32.423
2673.34     -0.032   -31.076
2712.23     -0.025   -29.550
2751.68     -0.017   -28.035
2791.70     -0.010   -26.752
2832.31     -0.002   -25.915
2873.50      0.006   -25.709
2915.30      0.014   -26.216
2957.70      0.023   -27.386
3000.72      0.033   -29.050
3044.37      0.044   -30.928
3088.65      0.056   -32.724
3133.58      0.069   -34.256
3179.16      0.082   -35.454
3225.40      0.095   -36.363
3272.31      0.108   -37.087
3319.91      0.120   -37.728
3368.20      0.132   -38.438
3417.19      0.143   -39.395
3466.89      0.152   -40.798
3517.32      0.160   -42.878
3568.48      0.167   -45.829
3620.39      0.173   -49.796
3673.05      0.177   -54.820
3726.47      0.181   -60.752
3780.67      0.183   -67.336
3835.67      0.183   -74.228
3891.46      0.182   -81.038
3948.06      0.179   -87.442
4005.49      0.174   -93.245
